DescAlmacenStock;Proveedor;DMarca;DFamil_N1;DFamil_N2;DFamil_N3;DFamil_N4;DFamil_N5;LVenta;Codigo_Anterior;Cod.Artículo;Artículo;RefProv;PendRecibir;Stock;StockDisp;PendServir;PRec+Stock+Disp+PServ;SumaStocks0;PrecioAdq_Artic;PrecioInvent;PVP_artic;Oferta_Compra;Oferta_Venta;PVPanterior;%MB-Stock;%MB-Stock-Oferta;UltFechaAlbCompra;UltFechaAlbVenta;ArticActivo;Obsoleto;Comprar_Stock;Comprar_Cliente;Clasificación;Ean13;Fijo_Vendedor;Val Stock x PrecioAdq_Artic;Val Stock x PrecioInvent;Val Stock x PVP_Artic
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00001 - Vajilla; -;Menage;;00845001011245;VAJILLA PORCELANA 18PZS AQUILEA AZUL BID  5426679;5426679;0;0;-1;0;-1;No;"24,9";"24,43";"48,25";;;;"0,387351295336788";"0,387351295336788";09/02/2026;06/02/2026;S;N;S;N;OFERTA;8414793733526;;0;0;0
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00001 - Vajilla; -;Menage;;00845001011279;VAJILLA PORCELANA 18PZ AQUILEA GRIS BID 5426678;5426678;0;0;-2;0;-2;No;"24,9";"24,33";"48,25";;;;"0,389859067357513";"0,389859067357513";13/11/2025;27/01/2026;S;N;S;N;OFERTA;8414793733519;;0;0;0
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00001 - Vajilla; -;Menage;;00845001011306;VAJILLA CERÁMICA 12 PIEZAS MOANA BIDASOA;5426728;0;0;-3;0;-3;No;"23,9";"23,9";"46,32";;;;"0,375669257340242";"0,375669257340242";02/01/2026;29/01/2026;S;N;S;N;OFERTA;8414793746274;;0;0;0
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00001 - Vajilla; -;Menage;;00845001011320;VAJILLA 18PZ FARO QUID  5427461;5427461;0;0;-1;0;-1;No;"18,55";"18,24";34;;;;"0,350870588235294";"0,350870588235294";09/02/2026;05/01/2026;S;N;S;N;OFERTA;8414793756792;;0;0;0
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00002 - Complementos Vajilla; -;Menage;6271183;00845001010514;PLATO P.TRANSP. 32 C/ALA ORO  7410099;7410099;0;0;-9;0;-9;No;"4,4";"4,14";"8,59";;;;"0,416833527357392";"0,416833527357392";;05/12/2025;S;S;S;N;OFERTA;8414793548397;;0;0;0
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00099 - Acc. de Mesa; -;Menage;6330048;00845001010654;VAJILLA 18P GRES AQUA VITA QD  7407087;7407087;0;0;-1;0;-1;No;"26,95";"25,92";"53,12";;;;"0,409578313253012";"0,409578313253012";30/12/2025;05/12/2025;S;N;S;S;VENDER;8414793612609;;0;0;0
ALMACEN REPARACIONES;ADI HOGAR Y HOSTELERIA IBERICA S.L.;NINGUNA;00001 - Muebles;00054 - Menaje;00002 - Servicio de Mesa;00099 - Acc. de Mesa; -;Menage;;00845001011289;"ACCESORIO ""C"" INVENTARIABLE";845INV;0;1;0;0;1;No;0;0;0;;;;;;09/02/2026;03/02/2026;S;N;S;S;VENDER;;;0;0;0
ALMACEN REPARACIONES;AGAMYD S.A;SALLY;00001 - Muebles;00056 - Auxiliares;00001 - Mueble Auxiliar;00006 - Mesas; -;Mueble Auxiliar;6241492;01160001010007;MESA DE CENTRO RECT. 110X45X60 SALLY 112425;112425;0;1;1;0;2;No;66;"60,69";129;;;;"0,430737209302326";"0,430737209302326";;;S;S;N;N;LIQUIDACION;;;66;"60,69";129
ALMACEN REPARACIONES;AGAMYD S.A;XAVI;00001 - Muebles;00056 - Auxiliares;00001 - Mueble Auxiliar;00006 - Mesas; -;Mueble Auxiliar;6265133-22;01160001010050;"MESA DE CENTRO XAVI,#ACABADO EN BLANCO";;0;1;1;0;2;No;"64,8";"49,37";129;;;;"0,536917054263566";"0,536917054263566";;23/02/2024;S;N;S;S;OFERTA;;;"64,8";"49,37";129
ALMACEN REPARACIONES;ALMA SOFAS S.L.;IZNAJAR;00001 - Muebles;00057 - Asientos;00002 - Sofás;00004 - Sofás; -;Asientos;6366813;01464001010146;"CONJUNTO 3+2 PLAZAS IZNAJAR TELA OFERTA,#ACABADO EN TELA EDA COLOR 1 CRUDO";TELA OFERTA;0;1;1;0;2;No;"653,86";"603,56";"1323,01";;;;"0,447995404418712";"0,447995404418712";04/02/2025;02/10/2024;S;N;S;S;COLECCION;;;"653,86";"603,56";"1323,01"
ALMACEN REPARACIONES;ALMA SOFAS S.L.;NINGUNA;00001 - Muebles;00057 - Asientos;00002 - Sofás;00008 - Chaise longues; -;Asientos;;01464001010095;ACCESORIO  C INVENTARIABLE;INV1464;0;3;3;0;6;No;0;0;0;;;;;;30/01/2026;30/04/2024;S;N;S;S;VENDER;;;0;0;0
